Date,Ticker,Shares,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-06-30,ABEO,6.0,5.77,4.9,5.68,34.08,-0.54,HOLD,,
2025-06-30,CADL,5.0,5.04,4.03,5.06,25.3,0.1,HOLD,,
2025-06-30,CSAI,15.0,1.9,1.45,2.21,33.15,4.65,HOLD,,
2025-06-30,TOTAL,,,,,92.53,4.21,,11.68,104.21
2025-07-01,ABEO,6.0,5.77,4.9,5.57,33.42,-1.2,HOLD,,
2025-07-01,CADL,5.0,5.04,4.03,4.85,24.25,-0.95,HOLD,,
2025-07-01,CSAI,15.0,1.9,1.45,2.06,30.9,2.4,HOLD,,
2025-07-01,TOTAL,,,,,88.57,0.25,,11.68,100.25
2025-07-02,ABEO,6.0,5.77,4.9,5.87,35.22,0.6,HOLD,,
2025-07-02,CADL,5.0,5.04,4.03,4.99,24.95,-0.25,HOLD,,
2025-07-02,CSAI,15.0,1.9,1.45,2.3,34.5,6.0,HOLD,,
2025-07-02,TOTAL,,,,,94.67,6.35,,11.68,106.35
2025-07-03,ABEO,6.0,5.77,4.9,5.89,35.34,0.72,HOLD,,
2025-07-03,CADL,5.0,5.04,4.03,5.1,25.5,0.3,HOLD,,
2025-07-03,CSAI,15.0,1.9,1.45,2.28,34.2,5.7,HOLD,,
2025-07-03,TOTAL,,,,,95.04,6.72,,11.68,106.72
2025-07-07,ABEO,6.0,5.77,4.9,5.75,34.5,-0.12,HOLD,,
2025-07-07,CADL,5.0,5.04,4.03,4.99,24.95,-0.25,HOLD,,
2025-07-07,AZTR,55.0,0.25,0.18,0.24,13.2,-0.55,HOLD,,
2025-07-07,TOTAL,,,,,72.65,-0.92,,32.13,104.78
2025-07-08,ABEO,6.0,5.77,4.9,5.84,35.04,0.42,HOLD,,
2025-07-08,CADL,5.0,5.04,4.03,5.24,26.2,1.0,HOLD,,
2025-07-08,AZTR,55.0,0.25,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-08,TOTAL,,,,,73.89,0.32,,32.13,106.02
2025-07-09,ABEO,6,5.77,4.9,5.83,34.98,0.36,HOLD,,
2025-07-09,CADL,5,5.04,4.03,6.09,30.45,5.25,HOLD,,
2025-07-09,AZTR,55,0.25,0.18,0.25,13.75,0.0,HOLD,,
2025-07-09,IINN,20,1.5,1.1,1.44,28.8,-1.2,HOLD,,
2025-07-09,TOTAL,,,,,107.98,4.41,,2.32,110.3
